"Color (R, G, B)",Count
"(np.int64(151), np.int64(144), np.int64(136))",265
"(np.int64(197), np.int64(190), np.int64(182))",245
"(np.int64(95), np.int64(94), np.int64(91))",242
"(np.int64(68), np.int64(66), np.int64(54))",170
"(np.int64(19), np.int64(20), np.int64(18))",164
"(np.int64(246), np.int64(241), np.int64(231))",138
"(np.int64(108), np.int64(109), np.int64(120))",18
"(np.int64(120), np.int64(178), np.int64(236))",12
"(np.int64(171), np.int64(114), np.int64(132))",12
"(np.int64(58), np.int64(113), np.int64(187))",9
