"Color (R, G, B)",Count
"(np.int64(117), np.int64(112), np.int64(94))",151
"(np.int64(37), np.int64(28), np.int64(35))",147
"(np.int64(223), np.int64(213), np.int64(186))",130
"(np.int64(156), np.int64(150), np.int64(125))",111
"(np.int64(76), np.int64(62), np.int64(60))",75
"(np.int64(251), np.int64(250), np.int64(250))",67
"(np.int64(195), np.int64(157), np.int64(144))",38
"(np.int64(221), np.int64(141), np.int64(113))",16
"(np.int64(169), np.int64(96), np.int64(78))",16
"(np.int64(1), np.int64(0), np.int64(0))",14
