"Color (R, G, B)",Count
"(np.int64(63), np.int64(44), np.int64(52))",425
"(np.int64(126), np.int64(95), np.int64(101))",373
"(np.int64(157), np.int64(160), np.int64(174))",345
"(np.int64(236), np.int64(218), np.int64(214))",275
"(np.int64(0), np.int64(0), np.int64(0))",170
"(np.int64(235), np.int64(167), np.int64(160))",96
"(np.int64(247), np.int64(239), np.int64(237))",93
"(np.int64(82), np.int64(55), np.int64(87))",54
"(np.int64(186), np.int64(207), np.int64(233))",47
"(np.int64(126), np.int64(125), np.int64(127))",45
