"Color (R, G, B)",Count
"(np.int64(221), np.int64(221), np.int64(224))",58
"(np.int64(169), np.int64(176), np.int64(180))",53
"(np.int64(24), np.int64(19), np.int64(28))",43
"(np.int64(97), np.int64(100), np.int64(125))",42
"(np.int64(170), np.int64(152), np.int64(134))",32
"(np.int64(116), np.int64(98), np.int64(81))",32
"(np.int64(43), np.int64(54), np.int64(99))",23
"(np.int64(38), np.int64(36), np.int64(34))",21
"(np.int64(239), np.int64(240), np.int64(244))",19
"(np.int64(72), np.int64(64), np.int64(56))",13
