"Color (R, G, B)",Count
"(np.int64(157), np.int64(151), np.int64(152))",280
"(np.int64(74), np.int64(69), np.int64(77))",216
"(np.int64(105), np.int64(102), np.int64(108))",134
"(np.int64(215), np.int64(204), np.int64(196))",108
"(np.int64(40), np.int64(38), np.int64(46))",100
"(np.int64(248), np.int64(248), np.int64(247))",56
"(np.int64(6), np.int64(4), np.int64(17))",29
"(np.int64(176), np.int64(131), np.int64(78))",20
"(np.int64(124), np.int64(81), np.int64(42))",16
"(np.int64(193), np.int64(189), np.int64(185))",14
