"Color (R, G, B)",Count
"(np.int64(113), np.int64(126), np.int64(139))",14
"(np.int64(70), np.int64(80), np.int64(96))",12
"(np.int64(157), np.int64(176), np.int64(215))",11
"(np.int64(45), np.int64(51), np.int64(46))",8
"(np.int64(157), np.int64(153), np.int64(144))",7
"(np.int64(187), np.int64(188), np.int64(183))",6
"(np.int64(219), np.int64(220), np.int64(216))",6
"(np.int64(126), np.int64(144), np.int64(184))",2
"(np.int64(97), np.int64(74), np.int64(73))",2
"(np.int64(93), np.int64(73), np.int64(69))",1
