"Color (R, G, B)",Count
"(np.int64(93), np.int64(97), np.int64(89))",293
"(np.int64(197), np.int64(185), np.int64(167))",277
"(np.int64(41), np.int64(36), np.int64(34))",259
"(np.int64(166), np.int64(152), np.int64(132))",188
"(np.int64(75), np.int64(78), np.int64(68))",134
"(np.int64(223), np.int64(214), np.int64(199))",128
"(np.int64(142), np.int64(128), np.int64(108))",61
"(np.int64(11), np.int64(9), np.int64(11))",38
"(np.int64(101), np.int64(140), np.int64(175))",37
"(np.int64(203), np.int64(204), np.int64(204))",26
