"Color (R, G, B)",Count
"(np.int64(138), np.int64(152), np.int64(161))",498
"(np.int64(179), np.int64(196), np.int64(199))",370
"(np.int64(49), np.int64(63), np.int64(81))",365
"(np.int64(100), np.int64(115), np.int64(129))",303
"(np.int64(223), np.int64(229), np.int64(235))",302
"(np.int64(26), np.int64(35), np.int64(49))",291
"(np.int64(157), np.int64(144), np.int64(120))",203
"(np.int64(106), np.int64(72), np.int64(28))",162
"(np.int64(111), np.int64(97), np.int64(77))",142
"(np.int64(68), np.int64(86), np.int64(107))",67
