"Color (R, G, B)",Count
"(np.int64(158), np.int64(144), np.int64(141))",444
"(np.int64(25), np.int64(20), np.int64(8))",428
"(np.int64(83), np.int64(86), np.int64(77))",397
"(np.int64(214), np.int64(235), np.int64(195))",232
"(np.int64(253), np.int64(253), np.int64(252))",183
"(np.int64(188), np.int64(185), np.int64(198))",166
"(np.int64(32), np.int64(35), np.int64(31))",119
"(np.int64(107), np.int64(103), np.int64(95))",83
"(np.int64(211), np.int64(213), np.int64(212))",78
"(np.int64(95), np.int64(91), np.int64(101))",77
