"Color (R, G, B)",Count
"(np.int64(53), np.int64(47), np.int64(48))",143
"(np.int64(154), np.int64(148), np.int64(148))",84
"(np.int64(87), np.int64(70), np.int64(77))",80
"(np.int64(183), np.int64(188), np.int64(194))",70
"(np.int64(116), np.int64(96), np.int64(95))",41
"(np.int64(22), np.int64(34), np.int64(9))",32
"(np.int64(194), np.int64(203), np.int64(215))",15
"(np.int64(239), np.int64(246), np.int64(248))",15
"(np.int64(214), np.int64(221), np.int64(212))",13
"(np.int64(131), np.int64(120), np.int64(122))",7
