"Color (R, G, B)",Count
"(np.int64(244), np.int64(245), np.int64(242))",35
"(np.int64(180), np.int64(175), np.int64(169))",28
"(np.int64(59), np.int64(54), np.int64(51))",27
"(np.int64(139), np.int64(139), np.int64(139))",18
"(np.int64(80), np.int64(82), np.int64(83))",15
"(np.int64(217), np.int64(206), np.int64(203))",15
"(np.int64(24), np.int64(25), np.int64(26))",9
"(np.int64(145), np.int64(201), np.int64(83))",4
"(np.int64(99), np.int64(99), np.int64(100))",3
"(np.int64(240), np.int64(122), np.int64(30))",2
