"Color (R, G, B)",Count
"(np.int64(98), np.int64(107), np.int64(105))",41
"(np.int64(173), np.int64(186), np.int64(179))",37
"(np.int64(227), np.int64(236), np.int64(229))",35
"(np.int64(49), np.int64(45), np.int64(41))",35
"(np.int64(5), np.int64(10), np.int64(10))",21
"(np.int64(151), np.int64(113), np.int64(122))",19
"(np.int64(92), np.int64(94), np.int64(92))",8
"(np.int64(177), np.int64(163), np.int64(177))",5
"(np.int64(109), np.int64(173), np.int64(235))",5
"(np.int64(155), np.int64(144), np.int64(135))",5
