"Color (R, G, B)",Count
"(np.int64(160), np.int64(149), np.int64(142))",87
"(np.int64(89), np.int64(74), np.int64(47))",63
"(np.int64(34), np.int64(25), np.int64(21))",61
"(np.int64(216), np.int64(203), np.int64(190))",58
"(np.int64(106), np.int64(93), np.int64(85))",35
"(np.int64(253), np.int64(253), np.int64(253))",25
"(np.int64(168), np.int64(116), np.int64(57))",11
"(np.int64(155), np.int64(142), np.int64(124))",9
"(np.int64(182), np.int64(172), np.int64(167))",6
"(np.int64(68), np.int64(54), np.int64(57))",5
