"Color (R, G, B)",Count
"(np.int64(97), np.int64(77), np.int64(75))",549
"(np.int64(141), np.int64(133), np.int64(143))",509
"(np.int64(42), np.int64(29), np.int64(29))",499
"(np.int64(216), np.int64(183), np.int64(166))",318
"(np.int64(232), np.int64(234), np.int64(225))",302
"(np.int64(180), np.int64(184), np.int64(178))",157
"(np.int64(175), np.int64(116), np.int64(78))",89
"(np.int64(106), np.int64(100), np.int64(92))",71
"(np.int64(84), np.int64(121), np.int64(156))",36
"(np.int64(224), np.int64(157), np.int64(110))",28
