"Color (R, G, B)",Count
"(np.int64(27), np.int64(27), np.int64(24))",227
"(np.int64(112), np.int64(116), np.int64(119))",201
"(np.int64(71), np.int64(71), np.int64(70))",174
"(np.int64(159), np.int64(173), np.int64(192))",136
"(np.int64(205), np.int64(211), np.int64(217))",93
"(np.int64(142), np.int64(150), np.int64(154))",88
"(np.int64(164), np.int64(147), np.int64(128))",26
"(np.int64(196), np.int64(196), np.int64(199))",16
"(np.int64(141), np.int64(114), np.int64(75))",12
"(np.int64(90), np.int64(89), np.int64(89))",10
