"Color (R, G, B)",Count
"(np.int64(131), np.int64(123), np.int64(108))",34
"(np.int64(69), np.int64(63), np.int64(57))",33
"(np.int64(191), np.int64(188), np.int64(179))",20
"(np.int64(219), np.int64(216), np.int64(209))",18
"(np.int64(161), np.int64(153), np.int64(136))",15
"(np.int64(101), np.int64(90), np.int64(78))",6
"(np.int64(35), np.int64(34), np.int64(29))",3
"(np.int64(226), np.int64(225), np.int64(214))",2
"(np.int64(163), np.int64(66), np.int64(127))",1
"(np.int64(131), np.int64(50), np.int64(95))",1
