"Color (R, G, B)",Count
"(np.int64(193), np.int64(205), np.int64(222))",196
"(np.int64(100), np.int64(71), np.int64(35))",194
"(np.int64(73), np.int64(49), np.int64(50))",175
"(np.int64(145), np.int64(110), np.int64(67))",154
"(np.int64(102), np.int64(112), np.int64(105))",139
"(np.int64(41), np.int64(26), np.int64(30))",138
"(np.int64(229), np.int64(231), np.int64(225))",96
"(np.int64(189), np.int64(151), np.int64(103))",93
"(np.int64(215), np.int64(191), np.int64(150))",74
"(np.int64(176), np.int64(174), np.int64(156))",53
