"Color (R, G, B)",Count
"(np.int64(33), np.int64(38), np.int64(44))",812
"(np.int64(152), np.int64(153), np.int64(159))",644
"(np.int64(124), np.int64(121), np.int64(122))",525
"(np.int64(231), np.int64(235), np.int64(237))",505
"(np.int64(108), np.int64(99), np.int64(79))",455
"(np.int64(191), np.int64(191), np.int64(192))",412
"(np.int64(59), np.int64(52), np.int64(49))",207
"(np.int64(63), np.int64(155), np.int64(194))",62
"(np.int64(169), np.int64(124), np.int64(51))",48
"(np.int64(167), np.int64(156), np.int64(146))",48
