"Color (R, G, B)",Count
"(np.int64(55), np.int64(46), np.int64(44))",269
"(np.int64(204), np.int64(194), np.int64(185))",192
"(np.int64(167), np.int64(151), np.int64(136))",171
"(np.int64(130), np.int64(112), np.int64(96))",151
"(np.int64(85), np.int64(72), np.int64(69))",149
"(np.int64(30), np.int64(26), np.int64(27))",68
"(np.int64(249), np.int64(247), np.int64(241))",47
"(np.int64(120), np.int64(82), np.int64(62))",17
"(np.int64(236), np.int64(241), np.int64(246))",10
"(np.int64(199), np.int64(199), np.int64(200))",10
