"Color (R, G, B)",Count
"(np.int64(161), np.int64(159), np.int64(155))",20
"(np.int64(102), np.int64(73), np.int64(68))",19
"(np.int64(127), np.int64(116), np.int64(106))",14
"(np.int64(51), np.int64(51), np.int64(51))",11
"(np.int64(191), np.int64(190), np.int64(187))",10
"(np.int64(9), np.int64(5), np.int64(4))",4
"(np.int64(27), np.int64(62), np.int64(85))",2
"(np.int64(239), np.int64(239), np.int64(241))",2
"(np.int64(213), np.int64(211), np.int64(207))",2
"(np.int64(167), np.int64(54), np.int64(20))",1
