"Color (R, G, B)",Count
"(np.int64(58), np.int64(53), np.int64(41))",80
"(np.int64(158), np.int64(153), np.int64(172))",62
"(np.int64(237), np.int64(223), np.int64(207))",58
"(np.int64(187), np.int64(188), np.int64(200))",54
"(np.int64(106), np.int64(101), np.int64(97))",47
"(np.int64(151), np.int64(146), np.int64(142))",39
"(np.int64(108), np.int64(61), np.int64(56))",34
"(np.int64(92), np.int64(164), np.int64(128))",13
"(np.int64(12), np.int64(12), np.int64(11))",11
"(np.int64(144), np.int64(87), np.int64(35))",7
