"Color (R, G, B)",Count
"(np.int64(94), np.int64(90), np.int64(81))",29
"(np.int64(184), np.int64(168), np.int64(151))",29
"(np.int64(46), np.int64(47), np.int64(39))",28
"(np.int64(206), np.int64(204), np.int64(199))",27
"(np.int64(136), np.int64(135), np.int64(131))",23
"(np.int64(224), np.int64(235), np.int64(238))",8
"(np.int64(38), np.int64(32), np.int64(28))",4
"(np.int64(140), np.int64(32), np.int64(65))",2
"(np.int64(62), np.int64(68), np.int64(42))",1
"(np.int64(179), np.int64(119), np.int64(57))",1
