"Color (R, G, B)",Count
"(np.int64(176), np.int64(162), np.int64(138))",162
"(np.int64(116), np.int64(92), np.int64(63))",136
"(np.int64(39), np.int64(43), np.int64(39))",116
"(np.int64(148), np.int64(131), np.int64(104))",92
"(np.int64(223), np.int64(216), np.int64(200))",90
"(np.int64(5), np.int64(5), np.int64(4))",63
"(np.int64(241), np.int64(240), np.int64(230))",48
"(np.int64(189), np.int64(196), np.int64(189))",36
"(np.int64(86), np.int64(87), np.int64(84))",29
"(np.int64(65), np.int64(191), np.int64(131))",14
