"Color (R, G, B)",Count
"(np.int64(117), np.int64(129), np.int64(134))",22
"(np.int64(162), np.int64(158), np.int64(149))",15
"(np.int64(80), np.int64(91), np.int64(103))",13
"(np.int64(202), np.int64(204), np.int64(200))",11
"(np.int64(35), np.int64(46), np.int64(74))",8
"(np.int64(172), np.int64(190), np.int64(227))",8
"(np.int64(158), np.int64(177), np.int64(217))",6
"(np.int64(94), np.int64(69), np.int64(70))",5
"(np.int64(30), np.int64(38), np.int64(33))",5
"(np.int64(227), np.int64(228), np.int64(224))",3
