"Color (R, G, B)",Count
"(np.int64(41), np.int64(40), np.int64(68))",76
"(np.int64(227), np.int64(231), np.int64(234))",54
"(np.int64(92), np.int64(92), np.int64(92))",52
"(np.int64(174), np.int64(175), np.int64(174))",48
"(np.int64(131), np.int64(131), np.int64(130))",37
"(np.int64(14), np.int64(16), np.int64(29))",33
"(np.int64(133), np.int64(162), np.int64(173))",31
"(np.int64(63), np.int64(85), np.int64(116))",20
"(np.int64(202), np.int64(148), np.int64(124))",12
"(np.int64(124), np.int64(58), np.int64(45))",11
