"Color (R, G, B)",Count
"(np.int64(119), np.int64(111), np.int64(124))",183
"(np.int64(160), np.int64(153), np.int64(165))",162
"(np.int64(102), np.int64(60), np.int64(48))",131
"(np.int64(30), np.int64(31), np.int64(36))",123
"(np.int64(187), np.int64(186), np.int64(182))",94
"(np.int64(0), np.int64(0), np.int64(0))",72
"(np.int64(241), np.int64(219), np.int64(195))",56
"(np.int64(63), np.int64(72), np.int64(113))",55
"(np.int64(240), np.int64(241), np.int64(237))",29
"(np.int64(150), np.int64(102), np.int64(69))",23
