"Color (R, G, B)",Count
"(np.int64(189), np.int64(171), np.int64(168))",22
"(np.int64(128), np.int64(91), np.int64(89))",22
"(np.int64(21), np.int64(23), np.int64(25))",15
"(np.int64(63), np.int64(51), np.int64(51))",13
"(np.int64(217), np.int64(205), np.int64(194))",13
"(np.int64(118), np.int64(133), np.int64(114))",9
"(np.int64(240), np.int64(238), np.int64(232))",3
"(np.int64(64), np.int64(187), np.int64(133))",2
"(np.int64(70), np.int64(107), np.int64(134))",2
"(np.int64(139), np.int64(167), np.int64(54))",2
