"Color (R, G, B)",Count
"(np.int64(209), np.int64(203), np.int64(192))",235
"(np.int64(29), np.int64(26), np.int64(22))",198
"(np.int64(77), np.int64(69), np.int64(59))",189
"(np.int64(158), np.int64(159), np.int64(160))",187
"(np.int64(117), np.int64(112), np.int64(101))",148
"(np.int64(195), np.int64(156), np.int64(104))",37
"(np.int64(168), np.int64(121), np.int64(85))",17
"(np.int64(250), np.int64(243), np.int64(227))",15
"(np.int64(77), np.int64(74), np.int64(159))",13
"(np.int64(212), np.int64(210), np.int64(205))",10
