"Color (R, G, B)",Count
"(np.int64(46), np.int64(42), np.int64(41))",67
"(np.int64(105), np.int64(100), np.int64(97))",64
"(np.int64(180), np.int64(174), np.int64(168))",60
"(np.int64(210), np.int64(207), np.int64(206))",23
"(np.int64(164), np.int64(156), np.int64(147))",19
"(np.int64(193), np.int64(190), np.int64(186))",8
"(np.int64(248), np.int64(252), np.int64(245))",8
"(np.int64(145), np.int64(136), np.int64(123))",8
"(np.int64(53), np.int64(68), np.int64(44))",8
"(np.int64(123), np.int64(85), np.int64(58))",4
