"Color (R, G, B)",Count
"(np.int64(121), np.int64(104), np.int64(87))",77
"(np.int64(167), np.int64(165), np.int64(158))",66
"(np.int64(204), np.int64(202), np.int64(199))",64
"(np.int64(48), np.int64(41), np.int64(36))",56
"(np.int64(89), np.int64(70), np.int64(59))",27
"(np.int64(144), np.int64(141), np.int64(123))",16
"(np.int64(224), np.int64(223), np.int64(220))",6
"(np.int64(144), np.int64(130), np.int64(111))",1
"(np.int64(70), np.int64(102), np.int64(118))",1
"(np.int64(167), np.int64(164), np.int64(150))",1
