"Color (R, G, B)",Count
"(np.int64(205), np.int64(207), np.int64(202))",80
"(np.int64(127), np.int64(124), np.int64(120))",78
"(np.int64(55), np.int64(51), np.int64(47))",78
"(np.int64(95), np.int64(93), np.int64(87))",45
"(np.int64(147), np.int64(146), np.int64(141))",44
"(np.int64(164), np.int64(164), np.int64(159))",24
"(np.int64(25), np.int64(23), np.int64(22))",11
"(np.int64(231), np.int64(232), np.int64(232))",8
"(np.int64(59), np.int64(101), np.int64(185))",4
"(np.int64(88), np.int64(75), np.int64(63))",3
