"Color (R, G, B)",Count
"(np.int64(48), np.int64(26), np.int64(17))",68
"(np.int64(88), np.int64(80), np.int64(65))",49
"(np.int64(163), np.int64(144), np.int64(116))",44
"(np.int64(250), np.int64(242), np.int64(214))",17
"(np.int64(178), np.int64(195), np.int64(213))",16
"(np.int64(93), np.int64(121), np.int64(107))",15
"(np.int64(174), np.int64(154), np.int64(122))",9
"(np.int64(153), np.int64(132), np.int64(105))",9
"(np.int64(57), np.int64(52), np.int64(45))",8
"(np.int64(236), np.int64(210), np.int64(169))",7
