"Color (R, G, B)",Count
"(np.int64(100), np.int64(96), np.int64(85))",362
"(np.int64(50), np.int64(30), np.int64(20))",337
"(np.int64(207), np.int64(196), np.int64(221))",221
"(np.int64(162), np.int64(150), np.int64(189))",180
"(np.int64(252), np.int64(252), np.int64(250))",111
"(np.int64(178), np.int64(179), np.int64(164))",109
"(np.int64(122), np.int64(108), np.int64(157))",106
"(np.int64(157), np.int64(156), np.int64(141))",106
"(np.int64(103), np.int64(62), np.int64(38))",70
"(np.int64(130), np.int64(128), np.int64(114))",60
