"Color (R, G, B)",Count
"(np.int64(43), np.int64(41), np.int64(46))",657
"(np.int64(137), np.int64(142), np.int64(148))",492
"(np.int64(86), np.int64(75), np.int64(62))",442
"(np.int64(178), np.int64(180), np.int64(184))",374
"(np.int64(230), np.int64(234), np.int64(236))",365
"(np.int64(137), np.int64(129), np.int64(124))",168
"(np.int64(99), np.int64(95), np.int64(100))",68
"(np.int64(218), np.int64(226), np.int64(221))",56
"(np.int64(65), np.int64(155), np.int64(193))",55
"(np.int64(165), np.int64(150), np.int64(141))",55
