"Color (R, G, B)",Count
"(np.int64(28), np.int64(39), np.int64(55))",267
"(np.int64(112), np.int64(64), np.int64(59))",191
"(np.int64(145), np.int64(137), np.int64(128))",181
"(np.int64(238), np.int64(211), np.int64(198))",143
"(np.int64(183), np.int64(180), np.int64(175))",109
"(np.int64(181), np.int64(125), np.int64(111))",107
"(np.int64(254), np.int64(253), np.int64(253))",78
"(np.int64(220), np.int64(171), np.int64(152))",78
"(np.int64(97), np.int64(91), np.int64(88))",74
"(np.int64(63), np.int64(78), np.int64(102))",46
