"Color (R, G, B)",Count
"(np.int64(22), np.int64(54), np.int64(59))",88
"(np.int64(126), np.int64(124), np.int64(125))",88
"(np.int64(163), np.int64(160), np.int64(158))",57
"(np.int64(84), np.int64(84), np.int64(95))",55
"(np.int64(18), np.int64(24), np.int64(43))",53
"(np.int64(230), np.int64(236), np.int64(240))",51
"(np.int64(158), np.int64(190), np.int64(208))",48
"(np.int64(87), np.int64(73), np.int64(64))",26
"(np.int64(145), np.int64(119), np.int64(88))",21
"(np.int64(198), np.int64(187), np.int64(174))",15
