"Color (R, G, B)",Count
"(np.int64(34), np.int64(48), np.int64(56))",188
"(np.int64(107), np.int64(124), np.int64(125))",159
"(np.int64(175), np.int64(180), np.int64(178))",151
"(np.int64(248), np.int64(237), np.int64(225))",93
"(np.int64(0), np.int64(0), np.int64(0))",90
"(np.int64(140), np.int64(136), np.int64(135))",58
"(np.int64(48), np.int64(68), np.int64(79))",54
"(np.int64(93), np.int64(87), np.int64(76))",33
"(np.int64(98), np.int64(114), np.int64(116))",31
"(np.int64(199), np.int64(198), np.int64(233))",24
