"Color (R, G, B)",Count
"(np.int64(76), np.int64(64), np.int64(57))",50
"(np.int64(137), np.int64(113), np.int64(93))",48
"(np.int64(21), np.int64(20), np.int64(19))",32
"(np.int64(214), np.int64(200), np.int64(179))",32
"(np.int64(139), np.int64(147), np.int64(170))",30
"(np.int64(249), np.int64(244), np.int64(234))",27
"(np.int64(178), np.int64(162), np.int64(145))",25
"(np.int64(106), np.int64(90), np.int64(66))",3
"(np.int64(217), np.int64(66), np.int64(84))",2
"(np.int64(232), np.int64(187), np.int64(101))",1
