"Color (R, G, B)",Count
"(np.int64(114), np.int64(78), np.int64(99))",252
"(np.int64(20), np.int64(21), np.int64(32))",246
"(np.int64(196), np.int64(187), np.int64(178))",234
"(np.int64(87), np.int64(59), np.int64(50))",228
"(np.int64(109), np.int64(133), np.int64(133))",133
"(np.int64(251), np.int64(252), np.int64(250))",99
"(np.int64(163), np.int64(157), np.int64(172))",92
"(np.int64(217), np.int64(235), np.int64(248))",70
"(np.int64(112), np.int64(144), np.int64(180))",38
"(np.int64(160), np.int64(143), np.int64(121))",34
