"Color (R, G, B)",Count
"(np.int64(56), np.int64(45), np.int64(17))",219
"(np.int64(75), np.int64(82), np.int64(88))",185
"(np.int64(190), np.int64(204), np.int64(214))",147
"(np.int64(153), np.int64(148), np.int64(151))",145
"(np.int64(103), np.int64(101), np.int64(130))",72
"(np.int64(244), np.int64(246), np.int64(247))",67
"(np.int64(145), np.int64(175), np.int64(190))",44
"(np.int64(13), np.int64(14), np.int64(12))",40
"(np.int64(109), np.int64(85), np.int64(77))",39
"(np.int64(151), np.int64(127), np.int64(109))",38
