"Color (R, G, B)",Count
"(np.int64(158), np.int64(182), np.int64(186))",167
"(np.int64(71), np.int64(66), np.int64(60))",148
"(np.int64(9), np.int64(19), np.int64(50))",141
"(np.int64(228), np.int64(238), np.int64(240))",141
"(np.int64(113), np.int64(118), np.int64(110))",136
"(np.int64(135), np.int64(150), np.int64(145))",118
"(np.int64(43), np.int64(30), np.int64(23))",70
"(np.int64(201), np.int64(166), np.int64(125))",58
"(np.int64(204), np.int64(185), np.int64(181))",51
"(np.int64(149), np.int64(123), np.int64(98))",16
