"Color (R, G, B)",Count
"(np.int64(124), np.int64(105), np.int64(85))",293
"(np.int64(180), np.int64(176), np.int64(168))",257
"(np.int64(221), np.int64(222), np.int64(210))",232
"(np.int64(133), np.int64(132), np.int64(130))",146
"(np.int64(7), np.int64(6), np.int64(5))",142
"(np.int64(70), np.int64(54), np.int64(98))",136
"(np.int64(56), np.int64(74), np.int64(84))",85
"(np.int64(16), np.int64(18), np.int64(17))",81
"(np.int64(253), np.int64(254), np.int64(254))",68
"(np.int64(82), np.int64(67), np.int64(56))",59
