"Color (R, G, B)",Count
"(np.int64(96), np.int64(100), np.int64(90))",24
"(np.int64(220), np.int64(190), np.int64(157))",20
"(np.int64(251), np.int64(248), np.int64(231))",18
"(np.int64(166), np.int64(159), np.int64(151))",17
"(np.int64(81), np.int64(49), np.int64(20))",12
"(np.int64(115), np.int64(82), np.int64(49))",9
"(np.int64(207), np.int64(169), np.int64(129))",6
"(np.int64(67), np.int64(75), np.int64(65))",6
"(np.int64(187), np.int64(146), np.int64(104))",6
"(np.int64(152), np.int64(113), np.int64(74))",5
