"Color (R, G, B)",Count
"(np.int64(142), np.int64(156), np.int64(165))",360
"(np.int64(29), np.int64(39), np.int64(53))",330
"(np.int64(193), np.int64(207), np.int64(210))",274
"(np.int64(94), np.int64(110), np.int64(126))",241
"(np.int64(157), np.int64(143), np.int64(120))",195
"(np.int64(58), np.int64(74), np.int64(94))",139
"(np.int64(100), np.int64(66), np.int64(26))",123
"(np.int64(231), np.int64(227), np.int64(221))",118
"(np.int64(112), np.int64(97), np.int64(74))",107
"(np.int64(34), np.int64(16), np.int64(11))",44
