"Color (R, G, B)",Count
"(np.int64(118), np.int64(116), np.int64(103))",270
"(np.int64(59), np.int64(36), np.int64(24))",270
"(np.int64(206), np.int64(196), np.int64(222))",171
"(np.int64(94), np.int64(92), np.int64(82))",135
"(np.int64(147), np.int64(134), np.int64(176))",115
"(np.int64(185), np.int64(186), np.int64(174))",105
"(np.int64(251), np.int64(250), np.int64(250))",77
"(np.int64(156), np.int64(155), np.int64(140))",59
"(np.int64(37), np.int64(37), np.int64(35))",22
"(np.int64(243), np.int64(193), np.int64(132))",18
