"Color (R, G, B)",Count
"(np.int64(41), np.int64(34), np.int64(35))",306
"(np.int64(119), np.int64(90), np.int64(82))",245
"(np.int64(182), np.int64(160), np.int64(142))",236
"(np.int64(228), np.int64(225), np.int64(218))",211
"(np.int64(122), np.int64(115), np.int64(109))",91
"(np.int64(70), np.int64(67), np.int64(65))",57
"(np.int64(212), np.int64(204), np.int64(193))",57
"(np.int64(239), np.int64(232), np.int64(223))",42
"(np.int64(25), np.int64(17), np.int64(16))",21
"(np.int64(200), np.int64(141), np.int64(25))",13
