"Color (R, G, B)",Count
"(np.int64(43), np.int64(39), np.int64(39))",68
"(np.int64(138), np.int64(135), np.int64(136))",49
"(np.int64(94), np.int64(85), np.int64(82))",47
"(np.int64(188), np.int64(190), np.int64(191))",37
"(np.int64(236), np.int64(237), np.int64(237))",18
"(np.int64(172), np.int64(176), np.int64(175))",3
"(np.int64(196), np.int64(147), np.int64(112))",3
"(np.int64(154), np.int64(206), np.int64(242))",2
"(np.int64(213), np.int64(219), np.int64(225))",2
"(np.int64(85), np.int64(87), np.int64(65))",1
