"Color (R, G, B)",Count
"(np.int64(54), np.int64(47), np.int64(49))",132
"(np.int64(81), np.int64(87), np.int64(98))",103
"(np.int64(144), np.int64(143), np.int64(138))",83
"(np.int64(220), np.int64(208), np.int64(202))",59
"(np.int64(30), np.int64(26), np.int64(26))",43
"(np.int64(188), np.int64(135), np.int64(121))",36
"(np.int64(178), np.int64(170), np.int64(156))",33
"(np.int64(125), np.int64(154), np.int64(196))",31
"(np.int64(115), np.int64(110), np.int64(114))",17
"(np.int64(240), np.int64(239), np.int64(239))",15
