"Color (R, G, B)",Count
"(np.int64(132), np.int64(115), np.int64(100))",179
"(np.int64(33), np.int64(29), np.int64(29))",176
"(np.int64(192), np.int64(179), np.int64(168))",159
"(np.int64(69), np.int64(58), np.int64(55))",116
"(np.int64(243), np.int64(241), np.int64(234))",44
"(np.int64(193), np.int64(193), np.int64(196))",37
"(np.int64(71), np.int64(76), np.int64(83))",23
"(np.int64(125), np.int64(129), np.int64(136))",19
"(np.int64(127), np.int64(84), np.int64(87))",14
"(np.int64(175), np.int64(159), np.int64(159))",9
