"Color (R, G, B)",Count
"(np.int64(228), np.int64(231), np.int64(238))",308
"(np.int64(64), np.int64(37), np.int64(38))",302
"(np.int64(99), np.int64(70), np.int64(35))",277
"(np.int64(144), np.int64(109), np.int64(67))",213
"(np.int64(119), np.int64(133), np.int64(126))",207
"(np.int64(184), np.int64(196), np.int64(213))",178
"(np.int64(188), np.int64(150), np.int64(102))",130
"(np.int64(32), np.int64(23), np.int64(28))",126
"(np.int64(82), np.int64(75), np.int64(76))",95
"(np.int64(222), np.int64(196), np.int64(153))",82
