"Color (R, G, B)",Count
"(np.int64(195), np.int64(175), np.int64(165))",242
"(np.int64(38), np.int64(43), np.int64(58))",198
"(np.int64(138), np.int64(100), np.int64(107))",164
"(np.int64(225), np.int64(230), np.int64(237))",135
"(np.int64(171), np.int64(166), np.int64(147))",120
"(np.int64(66), np.int64(103), np.int64(134))",78
"(np.int64(140), np.int64(137), np.int64(129))",51
"(np.int64(69), np.int64(41), np.int64(51))",49
"(np.int64(144), np.int64(148), np.int64(176))",32
"(np.int64(41), np.int64(17), np.int64(33))",31
