"Color (R, G, B)",Count
"(np.int64(79), np.int64(59), np.int64(44))",222
"(np.int64(131), np.int64(112), np.int64(98))",196
"(np.int64(30), np.int64(16), np.int64(10))",172
"(np.int64(206), np.int64(195), np.int64(158))",149
"(np.int64(252), np.int64(252), np.int64(251))",95
"(np.int64(149), np.int64(144), np.int64(152))",87
"(np.int64(228), np.int64(228), np.int64(230))",46
"(np.int64(208), np.int64(191), np.int64(181))",38
"(np.int64(133), np.int64(139), np.int64(99))",27
"(np.int64(122), np.int64(99), np.int64(42))",25
