"Color (R, G, B)",Count
"(np.int64(38), np.int64(22), np.int64(17))",90
"(np.int64(86), np.int64(80), np.int64(65))",73
"(np.int64(159), np.int64(141), np.int64(114))",61
"(np.int64(93), np.int64(121), np.int64(108))",26
"(np.int64(251), np.int64(246), np.int64(220))",22
"(np.int64(177), np.int64(198), np.int64(218))",18
"(np.int64(150), np.int64(132), np.int64(103))",16
"(np.int64(184), np.int64(169), np.int64(135))",11
"(np.int64(220), np.int64(191), np.int64(150))",8
"(np.int64(171), np.int64(151), np.int64(120))",8
