"Color (R, G, B)",Count
"(np.int64(165), np.int64(163), np.int64(154))",23
"(np.int64(64), np.int64(61), np.int64(56))",14
"(np.int64(109), np.int64(106), np.int64(98))",10
"(np.int64(151), np.int64(147), np.int64(135))",6
"(np.int64(56), np.int64(46), np.int64(43))",5
"(np.int64(178), np.int64(178), np.int64(176))",4
"(np.int64(245), np.int64(247), np.int64(247))",3
"(np.int64(29), np.int64(31), np.int64(30))",2
"(np.int64(108), np.int64(106), np.int64(112))",1
"(np.int64(239), np.int64(153), np.int64(160))",1
