"Color (R, G, B)",Count
"(np.int64(57), np.int64(63), np.int64(70))",299
"(np.int64(172), np.int64(183), np.int64(200))",243
"(np.int64(204), np.int64(215), np.int64(233))",178
"(np.int64(133), np.int64(144), np.int64(159))",175
"(np.int64(96), np.int64(103), np.int64(113))",159
"(np.int64(25), np.int64(18), np.int64(17))",148
"(np.int64(172), np.int64(139), np.int64(124))",111
"(np.int64(60), np.int64(50), np.int64(58))",109
"(np.int64(117), np.int64(85), np.int64(70))",79
"(np.int64(245), np.int64(235), np.int64(222))",39
