"Color (R, G, B)",Count
"(np.int64(201), np.int64(176), np.int64(159))",84
"(np.int64(91), np.int64(70), np.int64(58))",74
"(np.int64(23), np.int64(17), np.int64(17))",65
"(np.int64(171), np.int64(143), np.int64(127))",59
"(np.int64(205), np.int64(216), np.int64(231))",49
"(np.int64(121), np.int64(96), np.int64(81))",38
"(np.int64(251), np.int64(251), np.int64(253))",10
"(np.int64(64), np.int64(48), np.int64(39))",7
"(np.int64(199), np.int64(194), np.int64(174))",5
"(np.int64(130), np.int64(120), np.int64(105))",5
