"Color (R, G, B)",Count
"(np.int64(137), np.int64(89), np.int64(87))",25
"(np.int64(139), np.int64(183), np.int64(157))",22
"(np.int64(35), np.int64(58), np.int64(80))",18
"(np.int64(209), np.int64(235), np.int64(198))",17
"(np.int64(178), np.int64(123), np.int64(118))",11
"(np.int64(55), np.int64(61), np.int64(50))",10
"(np.int64(107), np.int64(106), np.int64(98))",10
"(np.int64(36), np.int64(29), np.int64(44))",8
"(np.int64(242), np.int64(238), np.int64(236))",6
"(np.int64(2), np.int64(3), np.int64(6))",5
