"Color (R, G, B)",Count
"(np.int64(191), np.int64(182), np.int64(176))",149
"(np.int64(83), np.int64(79), np.int64(86))",147
"(np.int64(108), np.int64(147), np.int64(130))",105
"(np.int64(44), np.int64(42), np.int64(51))",97
"(np.int64(152), np.int64(144), np.int64(140))",77
"(np.int64(247), np.int64(246), np.int64(246))",36
"(np.int64(7), np.int64(4), np.int64(18))",32
"(np.int64(96), np.int64(97), np.int64(103))",26
"(np.int64(217), np.int64(211), np.int64(177))",13
"(np.int64(150), np.int64(105), np.int64(59))",12
