"Color (R, G, B)",Count
"(np.int64(146), np.int64(137), np.int64(149))",132
"(np.int64(186), np.int64(185), np.int64(181))",103
"(np.int64(95), np.int64(57), np.int64(45))",97
"(np.int64(74), np.int64(80), np.int64(116))",76
"(np.int64(112), np.int64(96), np.int64(88))",68
"(np.int64(1), np.int64(1), np.int64(1))",60
"(np.int64(12), np.int64(66), np.int64(56))",43
"(np.int64(17), np.int64(17), np.int64(24))",41
"(np.int64(238), np.int64(215), np.int64(191))",37
"(np.int64(240), np.int64(241), np.int64(237))",23
