"Color (R, G, B)",Count
"(np.int64(153), np.int64(148), np.int64(152))",159
"(np.int64(87), np.int64(55), np.int64(68))",125
"(np.int64(133), np.int64(111), np.int64(111))",109
"(np.int64(23), np.int64(20), np.int64(24))",76
"(np.int64(238), np.int64(239), np.int64(239))",49
"(np.int64(177), np.int64(169), np.int64(179))",45
"(np.int64(188), np.int64(180), np.int64(188))",24
"(np.int64(131), np.int64(88), np.int64(104))",10
"(np.int64(34), np.int64(74), np.int64(151))",7
"(np.int64(75), np.int64(52), np.int64(55))",6
