"Color (R, G, B)",Count
"(np.int64(169), np.int64(159), np.int64(154))",116
"(np.int64(98), np.int64(86), np.int64(51))",81
"(np.int64(136), np.int64(111), np.int64(101))",70
"(np.int64(223), np.int64(209), np.int64(194))",68
"(np.int64(70), np.int64(53), np.int64(35))",67
"(np.int64(29), np.int64(22), np.int64(18))",41
"(np.int64(254), np.int64(254), np.int64(253))",36
"(np.int64(168), np.int64(115), np.int64(57))",5
"(np.int64(126), np.int64(34), np.int64(36))",4
"(np.int64(202), np.int64(66), np.int64(41))",4
