"Color (R, G, B)",Count
"(np.int64(50), np.int64(48), np.int64(43))",59
"(np.int64(204), np.int64(197), np.int64(191))",41
"(np.int64(83), np.int64(77), np.int64(75))",40
"(np.int64(157), np.int64(147), np.int64(142))",39
"(np.int64(246), np.int64(240), np.int64(229))",29
"(np.int64(103), np.int64(113), np.int64(129))",14
"(np.int64(134), np.int64(125), np.int64(123))",6
"(np.int64(210), np.int64(53), np.int64(128))",2
"(np.int64(168), np.int64(39), np.int64(88))",2
"(np.int64(156), np.int64(126), np.int64(114))",2
