"Color (R, G, B)",Count
"(np.int64(148), np.int64(144), np.int64(123))",286
"(np.int64(16), np.int64(21), np.int64(12))",233
"(np.int64(100), np.int64(101), np.int64(58))",231
"(np.int64(182), np.int64(198), np.int64(205))",213
"(np.int64(60), np.int64(64), np.int64(28))",129
"(np.int64(216), np.int64(212), np.int64(209))",97
"(np.int64(249), np.int64(248), np.int64(248))",45
"(np.int64(142), np.int64(158), np.int64(160))",40
"(np.int64(163), np.int64(157), np.int64(151))",26
"(np.int64(220), np.int64(221), np.int64(223))",25
