"Color (R, G, B)",Count
"(np.int64(108), np.int64(90), np.int64(71))",76
"(np.int64(63), np.int64(43), np.int64(28))",42
"(np.int64(15), np.int64(27), np.int64(64))",39
"(np.int64(235), np.int64(228), np.int64(212))",37
"(np.int64(147), np.int64(152), np.int64(148))",35
"(np.int64(125), np.int64(128), np.int64(87))",32
"(np.int64(218), np.int64(202), np.int64(179))",24
"(np.int64(34), np.int64(37), np.int64(21))",15
"(np.int64(138), np.int64(160), np.int64(197))",14
"(np.int64(83), np.int64(116), np.int64(171))",12
